network_frequency,rn_w_tracker_outstanding,share_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,rn_r_tracker_outstanding,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,FinishTime,TotalBandWidth,eject_queues_len,inject_queues_len,Topo
2,68,64,35.66623854,10813.13474,20905,36,64,57.22204191,788.4864761,5810,46096,92.88828045,8,2,4x5
2,72,64,50.61000519,228.010957,6038,32,64,49.48036973,2380.880682,12277,33115,100.0903749,8,2,9x4
2,72,64,35.29437108,10875.9689,21329,36,64,57.79085759,739.7766927,4505,46581,93.08522867,8,2,5x4
2,40,64,49.33718517,331.7380469,8213,36,64,49.10735695,2197.734069,12267,33379,98.44454212,8,2,4x9
2,72,64,35.93061251,10631.08409,20350,36,64,56.87492549,821.5437579,6491,45758,92.805538,8,2,4x5
2,24,64,33.27646438,11481.02938,23427,40,64,56.14260496,770.0017065,5205,49396,89.41906934,8,2,5x4
2,24,64,46.38862935,640.2636914,9681,36,64,46.78577403,2836.728841,13744,35477,93.17440338,8,2,9x4
2,24,64,33.75847362,11382.90097,22334,40,64,56.31413394,810.4891493,6088,48692,90.07260756,8,2,4x5
2,44,64,49.56707481,347.6874902,7528,36,64,49.33738898,2162.541104,12116,33225,98.90446379,8,2,4x9
2,28,64,33.26700508,11375.13373,23546,40,64,56.03399316,809.602036,5770,60000,89.30099824,8,2,5x4
2,28,64,49.88582042,207.6834375,4071,36,64,49.66368647,2646.098031,11646,33001,99.54950688,8,2,9x4
2,28,64,33.97196649,11426.03854,22593,40,64,56.26334594,837.2379656,6218,48387,90.23531243,8,2,4x5
2,48,64,49.83395911,310.7314063,5307,36,64,49.57564643,2192.404672,12195,33048,99.40960555,8,2,4x9
2,32,64,32.46670894,11359.89063,24197,40,64,54.79228457,859.3541864,6456,50624,87.25899351,8,2,5x4
2,32,64,33.72859025,11648.76315,22805,40,64,57.46735164,769.4130268,5427,48735,91.19594189,8,2,4x5
2,32,64,49.07887248,282.8647363,7313,36,64,50.329403,2374.750404,11470,33545,99.40827548,8,2,9x4
2,52,64,50.07459052,328.4883496,6485,36,64,49.16093835,2201.889974,12490,33343,99.23552887,8,2,4x9
2,36,64,32.90356268,11360.67151,23393,40,64,56.06110669,783.4943576,5672,49954,88.96466937,8,2,5x4
2,36,64,34.17747924,11446.51232,22575,40,64,56.77737328,785.7369496,6033,48097,90.95485253,8,2,4x5
2,36,64,46.61696921,463.5258203,9999,36,64,46.40297525,2605.53997,13679,35304,93.01994447,8,2,9x4
2,56,64,50.13830999,308.7046973,6118,36,64,49.56958621,2204.414812,12476,33071,99.70789621,8,2,4x9
2,40,64,33.85403752,11261.99663,22442,40,64,57.65732973,757.540986,5311,48556,91.51136726,8,2,5x4
2,40,64,33.97619344,11361.80614,22068,40,64,56.7237629,810.9035176,5983,48381,90.69995633,8,2,4x5
2,44,64,34.09568601,11117.80914,22040,40,64,56.99483467,812.9074041,5714,48213,91.09052069,8,2,5x4
2,60,64,48.94362356,404.6078027,12408,36,64,50.02208105,2173.78996,11868,33646,98.9657046,8,2,4x9
2,40,64,47.13056986,315.7974316,10110,36,64,49.8989725,2475.068912,11746,34931,97.02954236,8,2,9x4
2,44,64,34.66999598,11283.46739,22008,40,64,56.75750577,795.9442274,5967,47416,91.42750175,8,2,4x5
2,48,64,34.21173523,11081.92247,21604,40,64,57.56116257,782.404287,5595,48050,91.77289779,8,2,5x4
2,64,64,50.50196806,343.8026563,7660,36,64,49.46829729,2178.613824,12797,33138,99.97026535,8,2,4x9
2,44,64,45.85374045,932.2740625,16116,36,64,51.24691163,2270.637991,10597,35889,97.10065208,8,2,9x4
2,48,64,34.80295692,11221.67995,21951,40,64,56.91284211,795.9369476,5710,60000,91.71579903,8,2,4x5
2,52,64,34.73875708,11019.13106,21372,40,64,57.11927316,810.1089804,5679,60000,91.85803024,8,2,5x4
2,68,64,50.37173069,353.7627734,6470,36,64,49.90050761,2170.758138,11746,32854,100.2722383,8,2,4x9
2,52,64,34.9846259,11122.92951,21730,40,64,56.8350678,800.8764402,5915,46991,91.8196937,8,2,4x5
2,48,64,46.08201609,666.6969238,12599,36,64,45.98984944,2596.982915,12875,35712,92.07186553,8,2,9x4
2,56,64,35.06098866,10903.46739,20974,40,64,57.17363412,826.8435231,5795,46890,92.23462278,8,2,5x4
2,72,64,50.84112664,352.5813574,8140,36,64,49.89283297,2153.807814,11750,32859,100.7339596,8,2,4x9
2,56,64,34.50352743,11320.89273,22491,40,64,57.55299294,778.928267,5385,60000,92.05652037,8,2,4x5
2,60,64,34.66852875,11069.37181,21846,40,64,57.8630137,742.8964449,5276,47419,92.53154244,8,2,5x4
2,52,64,48.75174815,281.7086523,8348,36,64,50.12875112,2414.778172,11597,33768,98.88049927,8,2,9x4
2,60,64,35.20034375,11049.08758,21373,40,64,56.70393288,813.9396603,6026,46704,91.90427663,8,2,4x5
2,24,64,49.66173924,351.8600781,6811,40,64,49.43211532,2192.147964,12048,33162,99.09385456,8,2,4x9
2,64,64,34.61798513,11016.38144,21845,40,64,57.54482563,773.3099353,5752,47488,92.16281075,8,2,5x4
2,56,64,46.69136506,447.7955566,10648,36,64,46.57619526,2790.332495,13745,35249,93.26756032,8,2,9x4
2,64,64,35.29969406,11118.72532,21290,40,64,57.43479339,777.5235361,5457,46573,92.73448744,8,2,4x5
