rn_w_tracker_outstanding,rn_r_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,share_tracker_ostd,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,TotalBandWidth,FinishCycle,eject_queues_len,inject_queues_len,sdma-R-DDR_thoughput,sdma-W-l2m_thoughput,gdam-R-L2M_thoughput,sdma-R-DDR_finish_cycle,sdma-W-l2m_finish_cycle,gdam-R-L2M_finish_cycle,sdma-R-DDR_avg_latency,sdma-W-l2m_avg_latency,gdam-R-L2M_avg_latency,cir_h_total,cir_v_total,Topo
36,20,45.79197403,3695.390335,13056,1000,1000,56.77184624,3106.076187,6516,102.5638203,45832,8,5,112.966443,92.62543409,113.9968322,18476,22749,18309,495.0437876,137.0913619,190.3617073,36707,704,4x5
36,20,45.63651739,3618.371536,13146,1000,1000,56.23597554,3273.552826,6562,101.8724929,45988,8,5,111.9004932,92.74774418,113.2545445,18652,22719,18429,512.6555869,136.0555218,176.7429167,36912,511,5x4
84,16,61.43520037,599.4147034,6146,1000,1000,38.8303955,7213.086639,14722,100.2655959,54020,8,5,310.5741577,491.3088907,0,27010,17074,0,401.2524414,163.9833374,0,85560,317,9x4
92,16,67.20348651,785.0357361,3930,1000,1000,39.99298219,6559.312103,13937,107.1964687,52450,8,5,319.8706578,537.4212313,0,26225,15609,0,388.0474854,141.1276245,0,42,951,4x9
40,20,45.7380424,3664.211151,13162,1000,1000,56.90432518,3046.001816,6281,102.6423676,45886,8,5,113.3714286,92.29680245,113.9346034,18410,22830,18319,483.404391,137.097315,197.9364651,36633,740,4x5
40,20,45.51765172,3537.976746,13225,1000,1000,56.01666756,3316.602798,6538,101.5343193,46108,8,5,111.4642457,92.47502853,112.9114417,18725,22786,18485,489.1451,136.2169846,203.8972157,36133,527,5x4
88,16,59.26836988,594.1584778,7044,1000,1000,38.61305052,7241.649551,14874,97.88142041,54324,8,5,308.8361682,473.9862131,0,27162,17698,0,401.7814026,163.776825,0,83000,281,9x4
44,20,45.69419195,3722.457916,13141,1000,1000,57.29297345,3059.743607,6305,102.9871654,45930,8,5,114.0030588,91.8022045,115.1604502,18308,22953,18124,502.8777137,136.7048961,177.3176745,37130,335,4x5
96,16,67.57159428,779.5694733,3894,1000,1000,39.98840668,6558.806366,13940,107.560001,52456,8,5,319.8340705,540.3638238,0,26228,15524,0,388.0336914,141.0935669,0,7,910,4x9
44,20,45.26612971,3594.371368,13408,1000,1000,56.12160137,3354.513733,6638,101.3877311,46364,8,5,111.6729802,91.8582327,112.6980562,18690,22939,18520,503.8085367,136.6600656,190.614743,37005,624,5x4
