network_frequency,rn_r_tracker_outstanding,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,rn_w_tracker_outstanding,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,FinishTime,TotalBandWidth,Topo
2,44,34.46655491,6633.056824,14268,32,55.56589147,719.3959573,3579,30583,90.03244638,5x4
2,64,34.43147041,6679.577927,14338,32,56.0395244,713.8528026,3410,30614,90.47099482,5x4
2,36,34.39871404,6981.914291,14584,36,55.64077408,673.914109,4277,30643,90.03948812,5x4
2,48,34.39420081,6964.878021,14558,36,55.64977356,679.8151972,4401,30647,90.04397437,5x4
2,24,34.35363496,6744.71579,14485,32,55.6858006,705.1225353,3313,30683,90.03943557,5x4
2,56,34.28063293,7010.777863,14350,36,55.32465027,711.4402747,4411,30748,89.60528319,5x4
2,60,34.25935244,7017.670074,14556,36,55.34838329,702.0844339,4432,30767,89.60773573,5x4
2,64,34.24928142,7060.382233,14617,36,55.46437399,689.851764,4301,30776,89.71365541,5x4
2,52,34.24480732,7030.30159,14466,36,55.93323941,677.1295108,4187,30780,90.17804672,5x4
2,72,34.20013046,7007.363037,14712,36,54.87464115,705.2149678,4571,30820,89.07477161,5x4
2,40,34.15890804,6954.15979,14537,36,55.51508632,687.9192708,4122,30857,89.67399436,5x4
2,28,34.15112038,7076.449921,14582,36,55.72488258,686.9490172,4078,30864,89.87600295,5x4
2,24,34.13666699,6957.152588,14396,36,54.36309054,736.3503844,4841,30877,88.49975753,5x4
2,72,34.09116327,7190.64444,14907,40,55.84245834,651.0832248,4706,30918,89.93362162,5x4
2,44,33.98509107,6987.007782,14844,36,54.72916225,715.765191,4541,31014,88.71425332,5x4
2,48,33.87748772,7254.932785,15066,40,56.48418518,675.5019841,4339,31112,90.3616729,5x4
2,68,33.84577644,7093.494202,15050,36,55.45245514,694.5072545,4343,31141,89.29823158,5x4
2,68,33.84249935,7253.492874,15069,40,55.90294627,627.4342138,4390,31144,89.74544563,5x4
2,36,33.79450819,7237.416229,15170,40,55.25948927,692.1801835,4824,31188,89.05399745,5x4
2,56,33.78253165,7272.659286,15155,40,55.86966171,684.1296193,4746,31199,89.65219336,5x4
2,64,33.76947602,7311.647171,15187,40,56.70449926,650.4818638,4391,31211,90.47397528,5x4
2,44,33.73688105,7161.164963,15053,40,54.56425437,732.4540086,4997,31241,88.30113543,5x4
2,60,33.59313129,7414.184586,15126,44,55.77305884,701.2995567,4766,31374,89.36619013,5x4
2,52,33.56947112,7335.213715,15064,40,55.89991877,650.5624225,4447,31396,89.46938989,5x4
2,24,33.55980157,7251.648865,15379,40,54.97400937,677.0097966,4792,31405,88.53381094,5x4
2,60,33.52653792,7277.085724,15341,40,56.51820621,663.3260944,4345,31436,90.04474413,5x4
2,40,33.21957865,7314.639008,15653,40,55.12079462,701.8106709,4703,31725,88.34037326,5x4
2,28,33.18068477,7462.385345,15559,44,55.17972843,698.1171565,5151,31762,88.3604132,5x4
2,44,33.17543582,7463.103699,15741,44,55.44947623,665.1734716,4889,31767,88.62491205,5x4
2,32,33.17228725,7491.054535,15772,44,56.56156502,676.062004,4545,31770,89.73385227,5x4
2,32,33.15550496,7247.890289,15766,40,54.85131257,674.6033141,4841,31786,88.00681754,5x4
2,64,33.06246256,7445.532196,15848,44,55.14435303,703.3496094,5063,31875,88.20681559,5x4
2,24,33.05516676,7461.648071,15791,44,55.31279138,719.5975012,5142,31882,88.36795814,5x4
2,72,33.05412477,7481.626373,15791,44,55.28316641,719.9036768,5091,31883,88.33729118,5x4
